
        Using the ‘Hi Temperature’ values produce a “.txt” file containing all of the Dates and Times
        where the “Hi Temperature” was within +/- 1 degree of 22.3 or the “Low Temperature” was
        within +/- 0.2 degree higher or lower of 10.3 over the first 9 days of June
        Date: 2006-06-01, Time: 06:00, Hi: 10.3, Low: 10.2
Date: 2006-06-01, Time: 06:10, Hi: 10.4, Low: 10.3
Date: 2006-06-01, Time: 06:20, Hi: 10.4, Low: 10.4
Date: 2006-06-01, Time: 06:30, Hi: 10.5, Low: 10.4
Date: 2006-06-01, Time: 06:40, Hi: 10.6, Low: 10.5
Date: 2006-06-01, Time: 21:50, Hi: 10.6, Low: 10.3
Date: 2006-06-02, Time: 06:40, Hi: 10.4, Low: 10.2
Date: 2006-06-02, Time: 06:50, Hi: 10.8, Low: 10.4
Date: 2006-06-02, Time: 22:20, Hi: 10.6, Low: 10.4
Date: 2006-06-02, Time: 22:30, Hi: 10.4, Low: 10.2
Date: 2006-06-03, Time: 07:00, Hi: 10.7, Low: 10.3
Date: 2006-06-03, Time: 20:50, Hi: 10.8, Low: 10.5
Date: 2006-06-03, Time: 21:00, Hi: 10.6, Low: 10.3
Date: 2006-06-04, Time: 06:40, Hi: 10.4, Low: 10.2
Date: 2006-06-04, Time: 06:50, Hi: 10.5, Low: 10.4
Date: 2006-06-04, Time: 07:00, Hi: 10.6, Low: 10.5
Date: 2006-06-04, Time: 22:30, Hi: 10.6, Low: 10.4
Date: 2006-06-04, Time: 22:40, Hi: 10.4, Low: 10.4
Date: 2006-06-04, Time: 22:50, Hi: 10.4, Low: 10.3
Date: 2006-06-04, Time: 23:00, Hi: 10.3, Low: 10.3
Date: 2006-06-04, Time: 23:10, Hi: 10.3, Low: 10.2
Date: 2006-06-04, Time: 23:20, Hi: 10.2, Low: 10.2
Date: 2006-06-04, Time: 23:30, Hi: 10.2, Low: 10.2
Date: 2006-06-04, Time: 23:40, Hi: 10.2, Low: 10.2
Date: 2006-06-04, Time: 23:50, Hi: 10.2, Low: 10.2
Date: 2006-06-05, Time: 00:00, Hi: 10.2, Low: 10.2
Date: 2006-06-05, Time: 00:10, Hi: 10.3, Low: 10.2
Date: 2006-06-05, Time: 00:20, Hi: 10.3, Low: 10.2
Date: 2006-06-05, Time: 00:30, Hi: 10.2, Low: 10.2
Date: 2006-06-05, Time: 00:40, Hi: 10.2, Low: 10.2
Date: 2006-06-05, Time: 06:20, Hi: 10.5, Low: 10.2
Date: 2006-06-05, Time: 06:30, Hi: 10.7, Low: 10.5
Date: 2006-06-05, Time: 23:50, Hi: 10.6, Low: 10.4
Date: 2006-06-06, Time: 00:00, Hi: 10.4, Low: 10.3
Date: 2006-06-06, Time: 00:10, Hi: 10.3, Low: 10.2
Date: 2006-06-06, Time: 06:10, Hi: 10.5, Low: 10.2
